Subject,Predicate,Object
just:item_book_1,dcterms:source,<https://tecabml.contentdm.oclc.org/digital/collection/pandette/id/4/rec/1>
just:item_book_1,dcterms:isPartOf,just:collection_CorpusIurisCivilis
just:item_book_1,bf:heldBy,just:institution_BibliotecaMediceaLaurenziana
just:item_book_1,rdf:type,bf:Text
just:item_book_1,dcterms:language,<http://id.loc.gov/vocabulary/languages/lat>
just:item_book_1,dcterms:date,"""600"""
just:item_book_1,dcterms:spatial,<https://www.geonames.org/745044>
just:item_book_1,dcterms:medium,<http://vocab.getty.edu/aat/300011851>
just:item_book_1,bibo:annotates,just:concept_GreekUncial
just:item_book_1,dcterms:subject,<http://id.loc.gov/authorities/subjects/sh85115573>
just:item_book_1,dcterms:title,"""Codex Florentinus""@la"
